VIA,Tipo,Subtipo
765,Lugar/Ciudad,
767,Hombre,
768,Hombre,
769,Lugar/Ciudad,
771,Hombre,
772,Hombre,
774,Lugar/Ciudad,
777,Lugar/Ciudad,
779,Mujer,Cultura
780,Hombre,
783,Hombre,
785,Lugar/Ciudad,
786,Hombre,
789,Hombre,
792,Hombre,
795,Pais/Nación/Región,
798,Hombre,
801,Hombre,
807,Hombre,
810,Lugar/Ciudad,
813,Hombre,
814,Hombre,
815,Hombre,
816,Hombre,
819,Hombre,
822,Mujer,Emprendedora
825,Hombre,
828,Hombre,
831,Hombre,
834,Hombre,
835,Hombre,
837,Mujer,Madre/Esposa/Hija
840,Hombre,
841,Mujer,Madre/Esposa/Hija
843,Histórico,
846,Hombre,
852,Hombre,
855,Hombre,
858,Lugar/Ciudad,
864,Hombre,
867,Hombre,
869,Hombre,
873,Hombre,
876,Geográfico,
877,Descriptivo,
878,Descriptivo,
879,Hombre,
881,Descriptivo,
882,Hombre,
883,Descriptivo,
884,Descriptivo,
885,Hombre,
886,Descriptivo,
891,Geográfico,
894,Geográfico,
897,Lugar/Ciudad,
900,Pais/Nación/Región,
903,Hombre,
905,Pais/Nación/Región,
906,Hombre,
909,Hombre,
911,Lugar/Ciudad,
913,Hombre,
915,Histórico,
916,Hombre,
918,Hombre,
921,Hombre,
924,Lugar/Ciudad,
926,Hombre,
927,Hombre,
928,Hombre,
930,Lugar/Ciudad,
931,Hombre,
932,Hombre,
933,Hombre,
936,Pais/Nación/Región,
939,Hombre,
941,Hombre,
942,Hombre,
943,Hombre,
944,Geográfico,
945,Lugar/Ciudad,
948,Hombre,
951,Lugar/Ciudad,
956,Descriptivo,
957,Hombre,
960,Hombre,
963,Hombre,
965,Hombre,
966,Hombre,
971,Hombre,
972,Hombre,
973,Hombre,
974,Hombre,
975,Hombre,
978,Hombre,
981,Geográfico,
983,Hombre,
984,Lugar/Ciudad,
985,Hombre,
986,Hombre,
987,Lugar/Ciudad,
990,Hombre,
992,Hombre,
993,Hombre,
994,Lugar/Ciudad,
996,Lugar/Ciudad,
999,Geográfico,
1002,Hombre,
